Latitude (decimal degrees):	22.214
Longitude (decimal degrees):	77.492
Elevation (m):	532
Radiation database:	PVGIS-SARAH


Slope: 26 deg. (optimum)
Azimuth: -4 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20131231:2348,0.0,0.0,0.0,0.0,0.0,17.59,1.75,0.0
20140101:0048,0.0,0.0,0.0,0.0,0.0,17.76,1.73,0.0
20140101:0148,4880.0,0.0,15.59,0.17,2.98,17.93,1.71,0.0
20140101:0248,279150.0,235.55,116.56,2.18,15.05,18.09,1.68,0.0
20140101:0348,476790.0,435.49,166.53,4.21,26.07,20.03,1.16,0.0
20140101:0448,613790.0,624.14,181.87,5.94,35.4,21.96,0.64,0.0
20140101:0548,682400.0,749.53,186.27,7.11,42.03,23.89,0.12,0.0
20140101:0648,514350.0,317.77,361.35,5.85,44.76,24.48,0.41,0.0
20140101:0748,243710.0,25.44,293.3,3.3,42.89,25.08,0.69,0.0
20140101:0848,587550.0,570.92,207.73,6.02,36.92,25.67,0.98,0.0
20140101:0948,450070.0,394.52,185.26,4.39,28.02,24.9,1.4,0.0
20140101:1048,268630.0,220.21,128.83,2.47,17.26,24.12,1.83,0.0
20140101:1148,14700.0,0.0,31.17,0.34,5.36,23.34,2.25,0.0
20140101:1248,0.0,0.0,0.0,0.0,0.0,21.79,2.42,0.0
20140101:1348,0.0,0.0,0.0,0.0,0.0,20.24,2.59,0.0
20140101:1448,0.0,0.0,0.0,0.0,0.0,18.68,2.76,0.0
20140101:1548,0.0,0.0,0.0,0.0,0.0,18.21,2.77,0.0
20140101:1648,0.0,0.0,0.0,0.0,0.0,17.74,2.78,0.0
20140101:1748,0.0,0.0,0.0,0.0,0.0,17.27,2.79,0.0
20140101:1848,0.0,0.0,0.0,0.0,0.0,17.0,2.68,0.0
20140101:1948,0.0,0.0,0.0,0.0,0.0,16.73,2.57,0.0
20140101:2048,0.0,0.0,0.0,0.0,0.0,16.46,2.47,0.0
20140101:2148,0.0,0.0,0.0,0.0,0.0,16.32,2.21,0.0
20140101:2248,0.0,0.0,0.0,0.0,0.0,16.17,1.94,0.0
20140101:2348,0.0,0.0,0.0,0.0,0.0,16.02,1.68,0.0
20140102:0048,0.0,0.0,0.0,0.0,0.0,16.53,1.85,0.0
20140102:0148,3850.0,0.0,13.75,0.15,2.93,17.04,2.01,0.0
20140102:0248,110100.0,35.8,112.26,1.33,15.01,17.55,2.18,0.0
20140102:0348,294170.0,143.52,223.95,3.1,26.05,19.36,1.74,0.0
20140102:0448,592280.0,544.1,217.71,5.72,35.41,21.16,1.31,0.0
20140102:0548,675790.0,682.07,218.9,6.91,42.07,22.96,0.87,0.0
20140102:0648,696410.0,691.23,238.31,7.27,44.84,23.76,1.24,0.0
20140102:0748,682010.0,684.91,218.97,7.06,43.0,24.57,1.61,0.0
20140102:0848,624700.0,640.9,175.68,6.25,37.04,25.37,1.99,0.0
20140102:0948,482800.0,453.65,163.38,4.59,28.15,24.56,2.17,0.0
20140102:1048,286040.0,245.18,124.08,2.58,17.39,23.75,2.36,0.0
20140102:1148,14100.0,0.0,30.26,0.33,5.49,22.94,2.55,0.0
20140102:1248,0.0,0.0,0.0,0.0,0.0,21.41,2.37,0.0
20140102:1348,0.0,0.0,0.0,0.0,0.0,19.87,2.19,0.0
20140102:1448,0.0,0.0,0.0,0.0,0.0,18.33,2.01,0.0
20140102:1548,0.0,0.0,0.0,0.0,0.0,17.85,2.03,0.0
20140102:1648,0.0,0.0,0.0,0.0,0.0,17.37,2.05,0.0
20140102:1748,0.0,0.0,0.0,0.0,0.0,16.89,2.07,0.0
20140102:1848,0.0,0.0,0.0,0.0,0.0,16.58,2.16,0.0
20140102:1948,0.0,0.0,0.0,0.0,0.0,16.27,2.24,0.0
20140102:2048,0.0,0.0,0.0,0.0,0.0,15.96,2.33,0.0
20140102:2148,0.0,0.0,0.0,0.0,0.0,15.74,2.19,0.0
20140102:2248,0.0,0.0,0.0,0.0,0.0,15.51,2.05,0.0
20140102:2348,0.0,0.0,0.0,0.0,0.0,15.28,1.9,0.0
20140103:0048,0.0,0.0,0.0,0.0,0.0,16.16,2.15,0.0
20140103:0148,4370.0,0.0,14.67,0.16,2.88,17.05,2.4,0.0
20140103:0248,264920.0,212.83,120.06,2.11,14.97,17.93,2.65,0.0
20140103:0348,481280.0,434.85,165.18,4.2,26.03,20.05,2.33,0.0
20140103:0448,627380.0,623.11,182.9,5.95,35.42,22.17,2.01,0.0
20140103:0548,696800.0,722.32,200.52,7.05,42.12,24.28,1.7,0.0
20140103:0648,723480.0,776.18,196.04,7.52,44.93,24.94,1.47,0.0
20140103:0748,693030.0,740.24,192.95,7.24,43.12,25.61,1.24,0.0
20140103:0848,601590.0,607.35,194.07,6.17,37.18,26.27,1.01,0.0
20140103:0948,477050.0,455.54,163.25,4.61,28.29,25.43,1.26,0.0
20140103:1048,287390.0,252.25,122.06,2.61,17.53,24.58,1.5,0.0
20140103:1148,15300.0,0.0,32.09,0.35,5.62,23.73,1.75,0.0
20140103:1248,0.0,0.0,0.0,0.0,0.0,22.56,1.98,0.0
20140103:1348,0.0,0.0,0.0,0.0,0.0,21.39,2.21,0.0
20140103:1448,0.0,0.0,0.0,0.0,0.0,20.22,2.44,0.0
20140103:1548,0.0,0.0,0.0,0.0,0.0,19.18,2.38,0.0
20140103:1648,0.0,0.0,0.0,0.0,0.0,18.13,2.31,0.0
20140103:1748,0.0,0.0,0.0,0.0,0.0,17.09,2.25,0.0
20140103:1848,0.0,0.0,0.0,0.0,0.0,16.65,2.23,0.0
20140103:1948,0.0,0.0,0.0,0.0,0.0,16.21,2.2,0.0
20140103:2048,0.0,0.0,0.0,0.0,0.0,15.76,2.18,0.0
20140103:2148,0.0,0.0,0.0,0.0,0.0,15.52,2.21,0.0
20140103:2248,0.0,0.0,0.0,0.0,0.0,15.27,2.24,0.0
20140103:2348,0.0,0.0,0.0,0.0,0.0,15.03,2.28,0.0
20140104:0048,0.0,0.0,0.0,0.0,0.0,16.4,2.68,0.0
20140104:0148,3830.0,0.0,13.75,0.15,2.83,17.77,3.09,0.0
20140104:0248,277150.0,233.4,115.17,2.16,14.94,19.13,3.49,0.0
20140104:0348,481860.0,432.89,166.22,4.2,26.03,21.18,3.33,0.0
20140104:0448,632360.0,622.49,182.76,5.95,35.44,23.23,3.18,0.0
20140104:0548,716470.0,750.19,185.96,7.13,42.18,25.27,3.02,0.0
20140104:0648,740390.0,776.68,197.11,7.54,45.02,25.73,3.06,0.0
20140104:0748,658500.0,597.86,259.93,6.81,43.25,26.19,3.09,0.0
20140104:0848,551040.0,450.4,259.21,5.68,37.32,26.65,3.13,0.0
20140104:0948,473970.0,431.81,174.42,4.56,28.43,25.8,2.68,0.0
20140104:1048,290470.0,252.82,124.22,2.64,17.67,24.94,2.23,0.0
20140104:1148,16550.0,0.0,33.92,0.38,5.76,24.08,1.78,0.0
20140104:1248,0.0,0.0,0.0,0.0,0.0,22.52,1.91,0.0
20140104:1348,0.0,0.0,0.0,0.0,0.0,20.96,2.05,0.0
20140104:1448,0.0,0.0,0.0,0.0,0.0,19.39,2.18,0.0
20140104:1548,0.0,0.0,0.0,0.0,0.0,18.99,2.06,0.0
20140104:1648,0.0,0.0,0.0,0.0,0.0,18.58,1.95,0.0
20140104:1748,0.0,0.0,0.0,0.0,0.0,18.18,1.83,0.0
20140104:1848,0.0,0.0,0.0,0.0,0.0,17.6,1.65,0.0
20140104:1948,0.0,0.0,0.0,0.0,0.0,17.03,1.47,0.0
20140104:2048,0.0,0.0,0.0,0.0,0.0,16.45,1.28,0.0
20140104:2148,0.0,0.0,0.0,0.0,0.0,16.38,1.34,0.0
20140104:2248,0.0,0.0,0.0,0.0,0.0,16.3,1.4,0.0
20140104:2348,0.0,0.0,0.0,0.0,0.0,16.22,1.46,0.0
20140105:0048,0.0,0.0,0.0,0.0,0.0,16.77,1.54,0.0
20140105:0148,3330.0,0.0,12.84,0.14,2.79,17.32,1.63,0.0
20140105:0248,244840.0,186.18,123.78,2.03,14.92,17.87,1.71,0.0
20140105:0348,442550.0,363.16,188.89,3.98,26.02,19.37,1.71,0.0
20140105:0448,582170.0,512.75,229.21,5.63,35.47,20.87,1.7,0.0
20140105:0548,669730.0,631.04,242.61,6.78,42.25,22.36,1.7,0.0
20140105:0648,680560.0,614.21,273.6,7.06,45.13,22.57,1.93,0.0
20140105:0748,623120.0,506.45,297.02,6.52,43.38,22.77,2.16,0.0
20140105:0848,377730.0,162.53,314.59,4.35,37.46,22.98,2.39,0.0
20140105:0948,411780.0,299.01,219.67,4.13,28.58,22.29,2.13,0.0
20140105:1048,272060.0,213.51,135.04,2.52,17.81,21.6,1.87,0.0
20140105:1148,16840.0,0.0,33.92,0.38,5.89,20.91,1.61,0.0
20140105:1248,0.0,0.0,0.0,0.0,0.0,19.95,1.86,0.0
20140105:1348,0.0,0.0,0.0,0.0,0.0,18.98,2.11,0.0
20140105:1448,0.0,0.0,0.0,0.0,0.0,18.01,2.36,0.0
20140105:1548,0.0,0.0,0.0,0.0,0.0,17.42,2.24,0.0
20140105:1648,0.0,0.0,0.0,0.0,0.0,16.83,2.12,0.0
20140105:1748,0.0,0.0,0.0,0.0,0.0,16.24,2.0,0.0
20140105:1848,0.0,0.0,0.0,0.0,0.0,15.83,2.03,0.0
20140105:1948,0.0,0.0,0.0,0.0,0.0,15.42,2.06,0.0
20140105:2048,0.0,0.0,0.0,0.0,0.0,15.01,2.1,0.0
20140105:2148,0.0,0.0,0.0,0.0,0.0,14.75,2.28,0.0
20140105:2248,0.0,0.0,0.0,0.0,0.0,14.49,2.46,0.0
20140105:2348,0.0,0.0,0.0,0.0,0.0,14.23,2.65,0.0
20140106:0048,0.0,0.0,0.0,0.0,0.0,15.23,2.71,0.0
20140106:0148,3360.0,0.0,12.84,0.14,2.75,16.24,2.78,0.0
20140106:0248,98510.0,26.3,107.73,1.25,14.89,17.24,2.84,0.0
20140106:0348,333670.0,189.04,223.1,3.34,26.03,18.87,2.7,0.0
20140106:0448,636410.0,622.48,182.54,5.96,35.5,20.49,2.57,0.0
20140106:0548,722520.0,751.18,185.72,7.15,42.32,22.11,2.43,0.0
20140106:0648,743100.0,778.8,196.86,7.57,45.24,22.74,2.17,0.0
20140106:0748,712630.0,743.96,193.73,7.3,43.52,23.37,1.91,0.0
20140106:0848,623250.0,624.65,188.33,6.28,37.61,24.0,1.66,0.0
20140106:0948,495720.0,470.76,161.01,4.72,28.73,23.21,1.88,0.0
20140106:1048,300360.0,261.77,123.21,2.7,17.96,22.42,2.11,0.0
20140106:1148,18090.0,0.0,35.76,0.4,6.03,21.63,2.33,0.0
20140106:1248,0.0,0.0,0.0,0.0,0.0,19.94,2.3,0.0
20140106:1348,0.0,0.0,0.0,0.0,0.0,18.24,2.28,0.0
20140106:1448,0.0,0.0,0.0,0.0,0.0,16.54,2.25,0.0
20140106:1548,0.0,0.0,0.0,0.0,0.0,16.03,2.23,0.0
20140106:1648,0.0,0.0,0.0,0.0,0.0,15.52,2.21,0.0
20140106:1748,0.0,0.0,0.0,0.0,0.0,15.01,2.19,0.0
20140106:1848,0.0,0.0,0.0,0.0,0.0,14.69,2.17,0.0
20140106:1948,0.0,0.0,0.0,0.0,0.0,14.37,2.14,0.0
20140106:2048,0.0,0.0,0.0,0.0,0.0,14.04,2.11,0.0
20140106:2148,0.0,0.0,0.0,0.0,0.0,13.8,2.27,0.0
20140106:2248,0.0,0.0,0.0,0.0,0.0,13.55,2.42,0.0
20140106:2348,0.0,0.0,0.0,0.0,0.0,13.31,2.58,0.0
20140107:0048,0.0,0.0,0.0,0.0,0.0,13.95,2.62,0.0
20140107:0148,3400.0,0.0,12.84,0.14,2.71,14.59,2.65,0.0
20140107:0248,278710.0,230.73,114.86,2.15,14.88,15.23,2.69,0.0
20140107:0348,484620.0,431.26,165.86,4.2,26.03,17.5,2.26,0.0
20140107:0448,631890.0,621.66,182.36,5.96,35.54,19.77,1.83,0.0
20140107:0548,710760.0,751.58,185.58,7.16,42.4,22.03,1.41,0.0
20140107:0648,728990.0,780.43,195.53,7.58,45.36,22.87,1.16,0.0
20140107:0748,662390.0,639.2,244.56,7.0,43.67,23.71,0.92,0.0
20140107:0848,612670.0,627.57,188.23,6.31,37.77,24.55,0.68,0.0
20140107:0948,490100.0,472.39,160.82,4.74,28.88,23.98,1.09,0.0
20140107:1048,302750.0,270.07,121.22,2.74,18.11,23.4,1.49,0.0
20140107:1148,17970.0,0.0,35.76,0.4,6.18,22.82,1.9,0.0
20140107:1248,0.0,0.0,0.0,0.0,0.0,21.07,1.99,0.0
20140107:1348,0.0,0.0,0.0,0.0,0.0,19.32,2.07,0.0
20140107:1448,0.0,0.0,0.0,0.0,0.0,17.57,2.15,0.0
20140107:1548,0.0,0.0,0.0,0.0,0.0,17.1,2.13,0.0
20140107:1648,0.0,0.0,0.0,0.0,0.0,16.63,2.11,0.0
20140107:1748,0.0,0.0,0.0,0.0,0.0,16.16,2.1,0.0
20140107:1848,0.0,0.0,0.0,0.0,0.0,15.93,2.07,0.0
20140107:1948,0.0,0.0,0.0,0.0,0.0,15.7,2.05,0.0
20140107:2048,0.0,0.0,0.0,0.0,0.0,15.46,2.03,0.0
20140107:2148,0.0,0.0,0.0,0.0,0.0,15.3,2.05,0.0
20140107:2248,0.0,0.0,0.0,0.0,0.0,15.14,2.06,0.0
20140107:2348,0.0,0.0,0.0,0.0,0.0,14.98,2.08,0.0
20140108:0048,0.0,0.0,0.0,0.0,0.0,15.88,2.46,0.0
20140108:0148,3340.0,0.0,12.84,0.14,2.68,16.78,2.85,0.0
20140108:0248,258460.0,204.12,120.16,2.08,14.87,17.68,3.23,0.0
20140108:0348,470340.0,407.6,173.56,4.13,26.05,20.0,3.33,0.0
20140108:0448,627460.0,599.62,193.09,5.91,35.59,22.32,3.43,0.0
20140108:0548,715000.0,724.81,199.87,7.1,42.49,24.63,3.53,0.0
20140108:0648,741840.0,767.36,203.14,7.56,45.48,25.3,3.28,0.0
20140108:0748,617080.0,497.56,302.23,6.53,43.82,25.96,3.03,0.0
20140108:0848,438590.0,249.2,313.59,4.9,37.93,26.63,2.79,0.0
20140108:0948,449370.0,375.52,200.17,4.46,29.04,25.87,2.4,0.0
20140108:1048,290580.0,246.83,130.6,2.7,18.26,25.11,2.0,0.0
20140108:1148,19770.0,0.0,38.51,0.43,6.32,24.34,1.61,0.0
20140108:1248,0.0,0.0,0.0,0.0,0.0,22.65,1.91,0.0
20140108:1348,0.0,0.0,0.0,0.0,0.0,20.95,2.21,0.0
20140108:1448,0.0,0.0,0.0,0.0,0.0,19.25,2.51,0.0
20140108:1548,0.0,0.0,0.0,0.0,0.0,18.93,2.62,0.0
20140108:1648,0.0,0.0,0.0,0.0,0.0,18.61,2.72,0.0
20140108:1748,0.0,0.0,0.0,0.0,0.0,18.29,2.83,0.0
20140108:1848,0.0,0.0,0.0,0.0,0.0,18.25,3.08,0.0
20140108:1948,0.0,0.0,0.0,0.0,0.0,18.21,3.33,0.0
20140108:2048,0.0,0.0,0.0,0.0,0.0,18.16,3.59,0.0
20140108:2148,0.0,0.0,0.0,0.0,0.0,18.14,3.71,0.0
20140108:2248,0.0,0.0,0.0,0.0,0.0,18.11,3.83,0.0
20140108:2348,0.0,0.0,0.0,0.0,0.0,18.09,3.94,0.0
20140109:0048,0.0,0.0,0.0,0.0,0.0,18.99,3.73,0.0
20140109:0148,3270.0,0.0,12.84,0.14,2.66,19.89,3.51,0.0
20140109:0248,157360.0,82.24,124.31,1.62,14.86,20.79,3.3,0.0
20140109:0348,465980.0,406.91,173.38,4.13,26.07,22.38,3.89,0.0
20140109:0448,603690.0,543.77,216.79,5.75,35.64,23.97,4.47,0.0
20140109:0548,712950.0,698.05,213.89,7.04,42.58,25.55,5.06,0.0
20140109:0648,752420.0,767.55,204.13,7.58,45.62,25.97,4.82,0.0
20140109:0748,546560.0,349.71,346.52,5.95,43.98,26.39,4.57,0.0
20140109:0848,337970.0,116.96,314.2,4.08,38.1,26.81,4.33,0.0
20140109:0948,406850.0,290.35,226.45,4.17,29.21,26.05,3.52,0.0
20140109:1048,71990.0,3.13,102.83,1.12,18.42,25.29,2.7,0.0
20140109:1148,19760.0,0.0,38.51,0.43,6.47,24.52,1.89,0.0
20140109:1248,0.0,0.0,0.0,0.0,0.0,23.01,1.9,0.0
20140109:1348,0.0,0.0,0.0,0.0,0.0,21.49,1.92,0.0
20140109:1448,0.0,0.0,0.0,0.0,0.0,19.97,1.93,0.0
20140109:1548,0.0,0.0,0.0,0.0,0.0,19.52,1.71,0.0
20140109:1648,0.0,0.0,0.0,0.0,0.0,19.06,1.48,0.0
20140109:1748,0.0,0.0,0.0,0.0,0.0,18.6,1.26,0.0
20140109:1848,0.0,0.0,0.0,0.0,0.0,18.15,1.08,0.0
20140109:1948,0.0,0.0,0.0,0.0,0.0,17.71,0.91,0.0
20140109:2048,0.0,0.0,0.0,0.0,0.0,17.26,0.73,0.0
20140109:2148,0.0,0.0,0.0,0.0,0.0,17.11,1.04,0.0
20140109:2248,0.0,0.0,0.0,0.0,0.0,16.95,1.36,0.0
20140109:2348,0.0,0.0,0.0,0.0,0.0,16.79,1.67,0.0
20140110:0048,0.0,0.0,0.0,0.0,0.0,17.46,1.53,0.0
20140110:0148,3820.0,0.0,13.75,0.15,2.64,18.13,1.38,0.0
20140110:0248,252550.0,203.29,118.71,2.07,14.86,18.79,1.24,0.0
20140110:0348,290050.0,142.01,223.41,3.1,26.09,20.61,1.44,0.0
20140110:0448,599450.0,565.4,207.4,5.82,35.7,22.43,1.64,0.0
20140110:0548,652560.0,595.68,260.22,6.73,42.68,24.24,1.83,0.0
20140110:0648,711440.0,685.47,244.55,7.35,45.76,25.02,2.95,0.0
20140110:0748,637280.0,522.34,295.92,6.66,44.14,25.79,4.06,0.0
20140110:0848,553740.0,429.32,272.49,5.71,38.27,26.57,5.17,0.0
20140110:0948,474920.0,409.82,190.82,4.62,29.37,25.84,4.2,0.0
20140110:1048,187330.0,93.44,153.18,2.1,18.57,25.11,3.23,0.0
20140110:1148,19120.0,0.0,37.59,0.42,6.62,24.37,2.26,0.0
20140110:1248,0.0,0.0,0.0,0.0,0.0,22.95,2.37,0.0
20140110:1348,0.0,0.0,0.0,0.0,0.0,21.53,2.47,0.0
20140110:1448,0.0,0.0,0.0,0.0,0.0,20.11,2.58,0.0
20140110:1548,0.0,0.0,0.0,0.0,0.0,19.46,2.39,0.0
20140110:1648,0.0,0.0,0.0,0.0,0.0,18.81,2.2,0.0
20140110:1748,0.0,0.0,0.0,0.0,0.0,18.16,2.01,0.0
20140110:1848,0.0,0.0,0.0,0.0,0.0,17.48,2.06,0.0
20140110:1948,0.0,0.0,0.0,0.0,0.0,16.81,2.11,0.0
20140110:2048,0.0,0.0,0.0,0.0,0.0,16.13,2.15,0.0
20140110:2148,0.0,0.0,0.0,0.0,0.0,15.45,2.06,0.0
20140110:2248,0.0,0.0,0.0,0.0,0.0,14.76,1.98,0.0
20140110:2348,0.0,0.0,0.0,0.0,0.0,14.07,1.89,0.0
20140111:0048,0.0,0.0,0.0,0.0,0.0,14.8,1.66,0.0
20140111:0148,2390.0,0.0,11.0,0.12,2.62,15.54,1.43,0.0
20140111:0248,126330.0,50.23,116.7,1.43,14.86,16.27,1.2,0.0
20140111:0348,152770.0,18.29,179.86,2.02,26.12,17.91,1.67,0.0
20140111:0448,196720.0,15.44,236.19,2.62,35.77,19.54,2.15,0.0
20140111:0548,225530.0,14.83,273.02,3.01,42.79,21.17,2.62,0.0
20140111:0648,151570.0,0.0,200.23,2.14,45.91,21.88,2.46,0.0
20140111:0748,96630.0,0.0,134.75,1.44,44.31,22.6,2.31,0.0
20140111:0848,126830.0,0.0,171.76,1.84,38.45,23.31,2.15,0.0
20140111:0948,98230.0,0.0,136.65,1.46,29.54,22.56,2.35,0.0
20140111:1048,105950.0,17.05,128.45,1.46,18.74,21.8,2.55,0.0
20140111:1148,20140.0,0.0,38.51,0.43,6.77,21.04,2.74,0.0
20140111:1248,0.0,0.0,0.0,0.0,0.0,19.46,2.71,0.0
20140111:1348,0.0,0.0,0.0,0.0,0.0,17.88,2.67,0.0
20140111:1448,0.0,0.0,0.0,0.0,0.0,16.3,2.63,0.0
20140111:1548,0.0,0.0,0.0,0.0,0.0,15.69,2.86,0.0
20140111:1648,0.0,0.0,0.0,0.0,0.0,15.07,3.08,0.0
20140111:1748,0.0,0.0,0.0,0.0,0.0,14.46,3.3,0.0
20140111:1848,0.0,0.0,0.0,0.0,0.0,14.07,3.35,0.0
20140111:1948,0.0,0.0,0.0,0.0,0.0,13.68,3.41,0.0
20140111:2048,0.0,0.0,0.0,0.0,0.0,13.29,3.46,0.0
20140111:2148,0.0,0.0,0.0,0.0,0.0,12.99,3.47,0.0
20140111:2248,0.0,0.0,0.0,0.0,0.0,12.68,3.48,0.0
20140111:2348,0.0,0.0,0.0,0.0,0.0,12.37,3.49,0.0
20140112:0048,0.0,0.0,0.0,0.0,0.0,12.93,3.54,0.0
20140112:0148,2920.0,0.0,11.92,0.13,2.61,13.5,3.6,0.0
20140112:0248,161950.0,81.64,124.11,1.62,14.87,14.06,3.66,0.0
20140112:0348,477060.0,406.03,174.08,4.15,26.16,16.4,3.14,0.0
20140112:0448,619470.0,566.2,208.25,5.85,35.84,18.73,2.63,0.0
20140112:0548,706330.0,700.05,213.34,7.08,42.9,21.06,2.11,0.0
20140112:0648,729150.0,742.63,218.88,7.56,46.06,22.05,1.64,0.0
20140112:0748,705940.0,740.47,200.44,7.4,44.49,23.04,1.16,0.0
20140112:0848,617270.0,625.16,194.97,6.41,38.63,24.03,0.69,0.0
20140112:0948,483770.0,439.41,181.86,4.77,29.72,23.35,1.24,0.0
20140112:1048,307890.0,265.22,129.74,2.84,18.9,22.66,1.78,0.0
20140112:1148,20040.0,0.0,38.51,0.43,6.92,21.97,2.33,0.0
20140112:1248,0.0,0.0,0.0,0.0,0.0,20.12,2.25,0.0
20140112:1348,0.0,0.0,0.0,0.0,0.0,18.27,2.17,0.0
20140112:1448,0.0,0.0,0.0,0.0,0.0,16.42,2.1,0.0
20140112:1548,0.0,0.0,0.0,0.0,0.0,15.95,2.11,0.0
20140112:1648,0.0,0.0,0.0,0.0,0.0,15.47,2.11,0.0
20140112:1748,0.0,0.0,0.0,0.0,0.0,14.99,2.12,0.0
20140112:1848,0.0,0.0,0.0,0.0,0.0,14.75,2.11,0.0
20140112:1948,0.0,0.0,0.0,0.0,0.0,14.51,2.09,0.0
20140112:2048,0.0,0.0,0.0,0.0,0.0,14.27,2.07,0.0
20140112:2148,0.0,0.0,0.0,0.0,0.0,14.35,1.99,0.0
20140112:2248,0.0,0.0,0.0,0.0,0.0,14.43,1.91,0.0
20140112:2348,0.0,0.0,0.0,0.0,0.0,14.51,1.83,0.0
20140113:0048,0.0,0.0,0.0,0.0,0.0,15.32,2.02,0.0
20140113:0148,2860.0,0.0,11.92,0.13,2.6,16.13,2.2,0.0
20140113:0248,199660.0,127.65,126.22,1.82,14.89,16.93,2.39,0.0
20140113:0348,417340.0,317.11,200.64,3.86,26.2,18.68,1.82,0.0
20140113:0448,482130.0,321.72,288.56,5.0,35.91,20.42,1.25,0.0
20140113:0548,665790.0,647.74,238.47,6.93,43.02,22.16,0.68,0.0
20140113:0648,701340.0,688.54,246.26,7.42,46.22,22.95,1.15,0.0
20140113:0748,663720.0,610.16,262.92,7.02,44.68,23.73,1.63,0.0
20140113:0848,632360.0,627.73,194.79,6.44,38.82,24.52,2.11,0.0
20140113:0948,490570.0,450.55,177.58,4.82,29.9,24.09,1.82,0.0
20140113:1048,310090.0,271.54,128.75,2.88,19.06,23.66,1.53,0.0
20140113:1148,23230.0,0.0,43.09,0.48,7.07,23.22,1.24,0.0
20140113:1248,0.0,0.0,0.0,0.0,0.0,21.7,1.54,0.0
20140113:1348,0.0,0.0,0.0,0.0,0.0,20.18,1.84,0.0
20140113:1448,0.0,0.0,0.0,0.0,0.0,18.66,2.14,0.0
20140113:1548,0.0,0.0,0.0,0.0,0.0,18.62,2.05,0.0
20140113:1648,0.0,0.0,0.0,0.0,0.0,18.57,1.95,0.0
20140113:1748,0.0,0.0,0.0,0.0,0.0,18.52,1.86,0.0
20140113:1848,0.0,0.0,0.0,0.0,0.0,18.57,1.88,0.0
20140113:1948,0.0,0.0,0.0,0.0,0.0,18.62,1.9,0.0
20140113:2048,0.0,0.0,0.0,0.0,0.0,18.67,1.92,0.0
20140113:2148,0.0,0.0,0.0,0.0,0.0,18.52,1.96,0.0
20140113:2248,0.0,0.0,0.0,0.0,0.0,18.36,2.0,0.0
20140113:2348,0.0,0.0,0.0,0.0,0.0,18.21,2.04,0.0
20140114:0048,0.0,0.0,0.0,0.0,0.0,18.5,2.33,0.0
20140114:0148,0.0,0.0,5.5,0.06,2.59,18.8,2.61,0.0
20140114:0248,182360.0,108.8,126.41,1.75,14.9,19.09,2.9,0.0
20140114:0348,441540.0,360.25,188.62,4.01,26.25,20.89,2.99,0.0
20140114:0448,610730.0,566.76,207.84,5.87,36.0,22.68,3.09,0.0
20140114:0548,706180.0,701.53,214.11,7.12,43.15,24.47,3.19,0.0
20140114:0648,727120.0,717.54,232.37,7.52,46.39,25.07,3.17,0.0
20140114:0748,702410.0,689.0,227.95,7.29,44.87,25.67,3.16,0.0
20140114:0848,524770.0,380.27,293.08,5.61,39.01,26.27,3.14,0.0
20140114:0948,199490.0,37.31,223.83,2.62,30.08,25.54,2.6,0.0
20140114:1048,213090.0,120.57,158.25,2.31,19.23,24.8,2.06,0.0
20140114:1148,22460.0,0.0,42.17,0.47,7.23,24.06,1.52,0.0
20140114:1248,0.0,0.0,0.0,0.0,0.0,23.11,1.66,0.0
20140114:1348,0.0,0.0,0.0,0.0,0.0,22.16,1.79,0.0
20140114:1448,0.0,0.0,0.0,0.0,0.0,21.21,1.93,0.0
20140114:1548,0.0,0.0,0.0,0.0,0.0,20.89,1.98,0.0
20140114:1648,0.0,0.0,0.0,0.0,0.0,20.57,2.03,0.0
20140114:1748,0.0,0.0,0.0,0.0,0.0,20.25,2.08,0.0
20140114:1848,0.0,0.0,0.0,0.0,0.0,19.81,2.08,0.0
20140114:1948,0.0,0.0,0.0,0.0,0.0,19.37,2.08,0.0
20140114:2048,0.0,0.0,0.0,0.0,0.0,18.93,2.08,0.0
20140114:2148,0.0,0.0,0.0,0.0,0.0,18.54,2.02,0.0
20140114:2248,0.0,0.0,0.0,0.0,0.0,18.14,1.95,0.0
20140114:2348,0.0,0.0,0.0,0.0,0.0,17.75,1.89,0.0
20140115:0048,0.0,0.0,0.0,0.0,0.0,18.23,1.69,0.0
20140115:0148,1870.0,0.0,10.09,0.11,2.6,18.72,1.49,0.0
20140115:0248,155900.0,80.86,123.82,1.62,14.93,19.2,1.3,0.0
20140115:0348,283510.0,134.38,223.92,3.08,26.3,20.91,1.31,0.0
20140115:0448,579410.0,523.78,225.83,5.75,36.09,22.61,1.31,0.0
20140115:0548,668830.0,649.29,239.19,6.98,43.28,24.31,1.32,0.0
20140115:0648,698450.0,663.6,259.27,7.38,46.56,24.53,2.0,0.0
20140115:0748,693150.0,664.0,241.38,7.24,45.06,24.75,2.68,0.0
20140115:0848,578270.0,476.18,262.49,5.99,39.21,24.97,3.35,0.0
20140115:0948,450840.0,356.79,215.4,4.55,30.26,24.37,2.61,0.0
20140115:1048,293220.0,236.85,140.99,2.81,19.4,23.77,1.87,0.0
20140115:1148,23230.0,0.0,43.09,0.48,7.38,23.17,1.13,0.0
20140115:1248,0.0,0.0,0.0,0.0,0.0,21.93,1.39,0.0
