Latitude (decimal degrees):	28.669
Longitude (decimal degrees):	77.414
Elevation (m):	202
Radiation database:	PVGIS-SARAH


Slope: 30 deg. (optimum)
Azimuth: 2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20140103:2150,0.0,0.0,0.0,0.0,0.0,5.66,2.07,0.0
20140103:2250,0.0,0.0,0.0,0.0,0.0,5.59,1.63,0.0
20140103:2350,0.0,0.0,0.0,0.0,0.0,5.53,1.19,0.0
20140104:0050,0.0,0.0,0.0,0.0,0.0,6.9,1.24,0.0
20140104:0150,0.0,0.0,0.0,0.0,0.19,8.26,1.3,0.0
20140104:0250,83.66,30.43,82.87,1.33,11.57,9.63,1.35,0.0
20140104:0350,221.9,88.63,182.48,3.16,21.81,12.06,1.44,0.0
20140104:0450,446.85,282.73,260.82,5.66,30.3,14.48,1.53,0.0
20140104:0550,470.34,266.76,313.5,6.39,36.2,16.91,1.61,0.0
20140104:0650,443.2,215.2,333.47,6.34,38.58,17.66,1.54,0.0
20140104:0750,311.71,89.36,297.9,4.96,36.98,18.41,1.47,0.0
20140104:0850,575.62,499.69,228.29,6.83,31.73,19.16,1.39,0.0
20140104:0950,338.91,213.29,207.58,4.21,23.69,18.7,1.2,0.0
20140104:1050,244.83,191.96,118.01,2.49,13.75,18.23,1.02,0.0
20140104:1150,5.27,6.47,10.54,0.16,2.56,17.77,0.83,0.0
20140104:1250,0.0,0.0,0.0,0.0,0.0,16.61,1.11,0.0
20140104:1350,0.0,0.0,0.0,0.0,0.0,15.44,1.4,0.0
20140104:1450,0.0,0.0,0.0,0.0,0.0,14.28,1.68,0.0
20140104:1550,0.0,0.0,0.0,0.0,0.0,12.88,1.77,0.0
20140104:1650,0.0,0.0,0.0,0.0,0.0,11.48,1.86,0.0
20140104:1750,0.0,0.0,0.0,0.0,0.0,10.09,1.94,0.0
20140104:1850,0.0,0.0,0.0,0.0,0.0,8.96,1.93,0.0
20140104:1950,0.0,0.0,0.0,0.0,0.0,7.84,1.92,0.0
20140104:2050,0.0,0.0,0.0,0.0,0.0,6.71,1.9,0.0
20140104:2150,0.0,0.0,0.0,0.0,0.0,6.42,1.7,0.0
20140104:2250,0.0,0.0,0.0,0.0,0.0,6.13,1.5,0.0
20140104:2350,0.0,0.0,0.0,0.0,0.0,5.84,1.3,0.0
20140105:0050,0.0,0.0,0.0,0.0,0.0,7.08,1.59,0.0
20140105:0150,0.0,0.0,0.0,0.0,0.17,8.31,1.89,0.0
20140105:0250,165.47,108.46,99.45,1.84,11.56,9.55,2.18,0.0
20140105:0350,351.5,233.08,186.89,4.07,21.82,11.97,2.3,0.0
20140105:0450,524.74,396.11,239.47,6.22,30.34,14.4,2.43,0.0
20140105:0550,661.95,580.83,242.81,7.95,36.27,16.82,2.55,0.0
20140105:0650,725.08,686.31,226.95,8.73,38.69,17.62,2.67,0.0
20140105:0750,712.74,684.83,213.22,8.46,37.11,18.42,2.78,0.0
20140105:0850,637.38,605.46,190.78,7.26,31.87,19.23,2.9,0.0
20140105:0950,476.22,407.98,175.25,5.1,23.84,17.53,2.59,0.0
20140105:1050,278.18,228.8,115.5,2.65,13.89,15.84,2.28,0.0
20140105:1150,9.5,12.33,11.79,0.19,2.7,14.14,1.97,0.0
20140105:1250,0.0,0.0,0.0,0.0,0.0,12.75,2.03,0.0
20140105:1350,0.0,0.0,0.0,0.0,0.0,11.36,2.09,0.0
20140105:1450,0.0,0.0,0.0,0.0,0.0,9.97,2.15,0.0
20140105:1550,0.0,0.0,0.0,0.0,0.0,9.41,2.2,0.0
20140105:1650,0.0,0.0,0.0,0.0,0.0,8.85,2.24,0.0
20140105:1750,0.0,0.0,0.0,0.0,0.0,8.28,2.29,0.0
20140105:1850,0.0,0.0,0.0,0.0,0.0,7.91,2.39,0.0
20140105:1950,0.0,0.0,0.0,0.0,0.0,7.54,2.48,0.0
20140105:2050,0.0,0.0,0.0,0.0,0.0,7.16,2.58,0.0
20140105:2150,0.0,0.0,0.0,0.0,0.0,6.84,2.33,0.0
20140105:2250,0.0,0.0,0.0,0.0,0.0,6.53,2.07,0.0
20140105:2350,0.0,0.0,0.0,0.0,0.0,6.21,1.82,0.0
20140106:0050,0.0,0.0,0.0,0.0,0.0,7.0,1.94,0.0
20140106:0150,0.0,0.0,0.0,0.0,0.14,7.78,2.06,0.0
20140106:0250,134.45,75.75,95.54,1.67,11.56,8.57,2.18,0.0
20140106:0350,333.07,207.15,189.57,3.95,21.84,11.21,2.39,0.0
20140106:0450,527.56,396.96,239.41,6.23,30.39,13.85,2.59,0.0
20140106:0550,654.08,558.81,250.27,7.87,36.35,16.49,2.8,0.0
20140106:0650,732.25,686.59,227.96,8.76,38.8,17.21,3.2,0.0
20140106:0750,722.28,686.49,213.03,8.48,37.25,17.93,3.59,0.0
20140106:0850,632.79,575.73,203.39,7.17,32.02,18.66,3.99,0.0
20140106:0950,468.14,386.03,182.47,5.04,23.99,17.12,3.36,0.0
20140106:1050,282.45,231.42,116.71,2.69,14.04,15.57,2.73,0.0
20140106:1150,9.83,11.78,12.73,0.2,2.85,14.03,2.1,0.0
20140106:1250,0.0,0.0,0.0,0.0,0.0,12.55,2.15,0.0
20140106:1350,0.0,0.0,0.0,0.0,0.0,11.06,2.21,0.0
20140106:1450,0.0,0.0,0.0,0.0,0.0,9.57,2.26,0.0
20140106:1550,0.0,0.0,0.0,0.0,0.0,9.02,2.34,0.0
20140106:1650,0.0,0.0,0.0,0.0,0.0,8.47,2.42,0.0
20140106:1750,0.0,0.0,0.0,0.0,0.0,7.91,2.5,0.0
20140106:1850,0.0,0.0,0.0,0.0,0.0,7.8,2.43,0.0
20140106:1950,0.0,0.0,0.0,0.0,0.0,7.68,2.37,0.0
20140106:2050,0.0,0.0,0.0,0.0,0.0,7.56,2.3,0.0
20140106:2150,0.0,0.0,0.0,0.0,0.0,7.69,2.65,0.0
20140106:2250,0.0,0.0,0.0,0.0,0.0,7.81,3.0,0.0
20140106:2350,0.0,0.0,0.0,0.0,0.0,7.94,3.35,0.0
20140107:0050,0.0,0.0,0.0,0.0,0.0,8.46,3.26,0.0
20140107:0150,0.0,0.0,0.0,0.0,0.12,8.97,3.18,0.0
20140107:0250,235.54,194.25,94.86,2.19,11.56,9.49,3.09,0.0
20140107:0350,446.98,371.03,158.59,4.67,21.86,11.66,3.34,0.0
20140107:0450,622.14,565.56,183.48,6.91,30.44,13.83,3.59,0.0
20140107:0550,732.58,715.24,185.82,8.47,36.43,16.0,3.83,0.0
20140107:0650,751.91,715.04,215.83,8.88,38.92,16.81,3.95,0.0
20140107:0750,733.09,701.63,206.11,8.55,37.4,17.62,4.07,0.0
20140107:0850,640.86,588.33,198.95,7.24,32.18,18.44,4.19,0.0
20140107:0950,489.72,420.35,173.12,5.19,24.15,16.75,3.51,0.0
20140107:1050,191.31,116.98,122.8,2.24,14.2,15.06,2.83,0.0
20140107:1150,13.91,16.9,14.0,0.23,2.99,13.37,2.15,0.0
20140107:1250,0.0,0.0,0.0,0.0,0.0,11.92,2.11,0.0
20140107:1350,0.0,0.0,0.0,0.0,0.0,10.46,2.08,0.0
20140107:1450,0.0,0.0,0.0,0.0,0.0,9.0,2.04,0.0
20140107:1550,0.0,0.0,0.0,0.0,0.0,8.27,2.02,0.0
20140107:1650,0.0,0.0,0.0,0.0,0.0,7.55,2.0,0.0
20140107:1750,0.0,0.0,0.0,0.0,0.0,6.82,1.97,0.0
20140107:1850,0.0,0.0,0.0,0.0,0.0,6.28,2.17,0.0
20140107:1950,0.0,0.0,0.0,0.0,0.0,5.74,2.36,0.0
20140107:2050,0.0,0.0,0.0,0.0,0.0,5.2,2.55,0.0
20140107:2150,0.0,0.0,0.0,0.0,0.0,4.89,2.42,0.0
20140107:2250,0.0,0.0,0.0,0.0,0.0,4.58,2.29,0.0
20140107:2350,0.0,0.0,0.0,0.0,0.0,4.27,2.15,0.0
20140108:0050,0.0,0.0,0.0,0.0,0.0,5.16,1.93,0.0
20140108:0150,0.0,0.0,0.0,0.0,0.11,6.04,1.71,0.0
20140108:0250,201.32,148.47,99.2,2.02,11.56,6.93,1.49,0.0
20140108:0350,426.49,343.1,166.63,4.58,21.89,9.92,1.18,0.0
20140108:0450,591.03,534.94,196.0,6.82,30.5,12.92,0.86,0.0
20140108:0550,650.04,594.14,238.32,8.05,36.53,15.91,0.55,0.0
20140108:0650,700.6,664.67,238.16,8.72,39.05,16.7,0.94,0.0
20140108:0750,668.23,603.94,248.17,8.23,37.55,17.48,1.33,0.0
20140108:0850,248.51,59.3,250.93,4.06,32.34,18.27,1.72,0.0
20140108:0950,414.01,306.85,201.97,4.77,24.31,16.75,1.43,0.0
20140108:1050,250.51,188.72,123.16,2.58,14.35,15.24,1.14,0.0
20140108:1150,18.58,21.58,16.29,0.27,3.15,13.72,0.84,0.0
20140108:1250,0.0,0.0,0.0,0.0,0.0,12.64,0.81,0.0
20140108:1350,0.0,0.0,0.0,0.0,0.0,11.55,0.78,0.0
20140108:1450,0.0,0.0,0.0,0.0,0.0,10.47,0.74,0.0
20140108:1550,0.0,0.0,0.0,0.0,0.0,10.53,1.0,0.0
20140108:1650,0.0,0.0,0.0,0.0,0.0,10.59,1.25,0.0
20140108:1750,0.0,0.0,0.0,0.0,0.0,10.65,1.5,0.0
20140108:1850,0.0,0.0,0.0,0.0,0.0,10.05,1.71,0.0
20140108:1950,0.0,0.0,0.0,0.0,0.0,9.44,1.91,0.0
20140108:2050,0.0,0.0,0.0,0.0,0.0,8.83,2.11,0.0
20140108:2150,0.0,0.0,0.0,0.0,0.0,8.56,1.95,0.0
20140108:2250,0.0,0.0,0.0,0.0,0.0,8.28,1.79,0.0
20140108:2350,0.0,0.0,0.0,0.0,0.0,8.01,1.63,0.0
20140109:0050,0.0,0.0,0.0,0.0,0.0,8.44,1.41,0.0
20140109:0150,0.0,0.0,0.0,0.0,0.1,8.86,1.19,0.0
20140109:0250,94.52,38.6,87.36,1.42,11.57,9.29,0.97,0.0
20140109:0350,436.19,370.88,158.23,4.69,21.93,11.79,0.74,0.0
20140109:0450,513.94,396.08,241.04,6.27,30.56,14.28,0.52,0.0
20140109:0550,629.7,560.07,252.01,7.94,36.63,16.78,0.3,0.0
20140109:0650,678.22,627.76,253.27,8.59,39.18,17.52,0.62,0.0
20140109:0750,687.74,667.02,224.45,8.5,37.7,18.26,0.94,0.0
20140109:0850,621.56,592.9,199.79,7.32,32.5,19.0,1.26,0.0
20140109:0950,471.62,400.21,182.73,5.19,24.47,17.62,1.65,0.0
20140109:1050,277.39,222.33,121.63,2.75,14.51,16.25,2.05,0.0
20140109:1150,22.34,25.87,17.59,0.3,3.3,14.87,2.44,0.0
20140109:1250,0.0,0.0,0.0,0.0,0.0,13.47,2.4,0.0
20140109:1350,0.0,0.0,0.0,0.0,0.0,12.06,2.36,0.0
20140109:1450,0.0,0.0,0.0,0.0,0.0,10.66,2.32,0.0
20140109:1550,0.0,0.0,0.0,0.0,0.0,9.88,2.18,0.0
20140109:1650,0.0,0.0,0.0,0.0,0.0,9.11,2.05,0.0
20140109:1750,0.0,0.0,0.0,0.0,0.0,8.34,1.92,0.0
20140109:1850,0.0,0.0,0.0,0.0,0.0,7.76,2.01,0.0
20140109:1950,0.0,0.0,0.0,0.0,0.0,7.18,2.1,0.0
20140109:2050,0.0,0.0,0.0,0.0,0.0,6.6,2.19,0.0
20140109:2150,0.0,0.0,0.0,0.0,0.0,6.24,2.15,0.0
20140109:2250,0.0,0.0,0.0,0.0,0.0,5.87,2.1,0.0
20140109:2350,0.0,0.0,0.0,0.0,0.0,5.5,2.06,0.0
20140110:0050,0.0,0.0,0.0,0.0,0.0,6.2,1.96,0.0
20140110:0150,0.0,0.0,0.0,0.0,0.1,6.89,1.86,0.0
20140110:0250,164.67,106.8,98.92,1.84,11.59,7.59,1.77,0.0
20140110:0350,350.37,232.0,187.24,4.1,21.97,10.53,1.19,0.0
20140110:0450,517.07,396.7,240.87,6.29,30.64,13.48,0.62,0.0
20140110:0550,641.51,594.63,239.01,8.09,36.74,16.42,0.04,0.0
20140110:0650,690.51,666.29,238.86,8.77,39.32,17.26,0.34,0.0
20140110:0750,689.67,680.39,220.04,8.58,37.87,18.1,0.63,0.0
20140110:0850,610.33,572.57,209.1,7.28,32.68,18.95,0.92,0.0
20140110:0950,453.49,373.37,190.34,5.11,24.64,17.55,1.01,0.0
20140110:1050,281.67,228.84,122.06,2.8,14.68,16.14,1.1,0.0
20140110:1150,14.64,14.91,16.84,0.27,3.46,14.74,1.19,0.0
20140110:1250,0.0,0.0,0.0,0.0,0.0,13.57,1.51,0.0
20140110:1350,0.0,0.0,0.0,0.0,0.0,12.39,1.83,0.0
20140110:1450,0.0,0.0,0.0,0.0,0.0,11.22,2.15,0.0
20140110:1550,0.0,0.0,0.0,0.0,0.0,10.82,2.66,0.0
20140110:1650,0.0,0.0,0.0,0.0,0.0,10.42,3.17,0.0
20140110:1750,0.0,0.0,0.0,0.0,0.0,10.02,3.68,0.0
20140110:1850,0.0,0.0,0.0,0.0,0.0,9.68,3.34,0.0
20140110:1950,0.0,0.0,0.0,0.0,0.0,9.34,3.0,0.0
20140110:2050,0.0,0.0,0.0,0.0,0.0,8.99,2.66,0.0
20140110:2150,0.0,0.0,0.0,0.0,0.0,8.54,2.83,0.0
20140110:2250,0.0,0.0,0.0,0.0,0.0,8.09,3.0,0.0
20140110:2350,0.0,0.0,0.0,0.0,0.0,7.64,3.17,0.0
20140111:0050,0.0,0.0,0.0,0.0,0.0,8.09,3.19,0.0
20140111:0150,0.0,0.0,0.0,0.0,0.1,8.55,3.2,0.0
20140111:0250,201.73,148.9,100.25,2.05,11.61,9.0,3.21,0.0
20140111:0350,402.73,298.36,177.65,4.43,22.02,11.2,3.37,0.0
20140111:0450,579.6,477.34,217.17,6.64,30.72,13.41,3.52,0.0
20140111:0550,682.63,596.27,238.83,8.12,36.85,15.61,3.67,0.0
20140111:0650,746.89,694.26,228.17,8.91,39.47,16.4,3.94,0.0
20140111:0750,730.91,683.18,218.59,8.61,38.04,17.19,4.2,0.0
20140111:0850,656.77,607.99,196.3,7.45,32.85,17.99,4.47,0.0
20140111:0950,490.87,413.69,180.7,5.3,24.82,16.83,3.67,0.0
20140111:1050,290.99,235.22,122.45,2.86,14.84,15.66,2.88,0.0
20140111:1150,18.35,19.12,18.12,0.3,3.61,14.5,2.08,0.0
20140111:1250,0.0,0.0,0.0,0.0,0.0,13.23,2.11,0.0
20140111:1350,0.0,0.0,0.0,0.0,0.0,11.95,2.15,0.0
20140111:1450,0.0,0.0,0.0,0.0,0.0,10.67,2.18,0.0
20140111:1550,0.0,0.0,0.0,0.0,0.0,9.97,2.11,0.0
20140111:1650,0.0,0.0,0.0,0.0,0.0,9.27,2.04,0.0
20140111:1750,0.0,0.0,0.0,0.0,0.0,8.56,1.97,0.0
20140111:1850,0.0,0.0,0.0,0.0,0.0,8.12,2.22,0.0
20140111:1950,0.0,0.0,0.0,0.0,0.0,7.68,2.46,0.0
20140111:2050,0.0,0.0,0.0,0.0,0.0,7.23,2.7,0.0
20140111:2150,0.0,0.0,0.0,0.0,0.0,7.02,2.58,0.0
20140111:2250,0.0,0.0,0.0,0.0,0.0,6.8,2.46,0.0
20140111:2350,0.0,0.0,0.0,0.0,0.0,6.59,2.34,0.0
20140112:0050,0.0,0.0,0.0,0.0,0.0,7.37,2.35,0.0
20140112:0150,0.0,0.0,0.0,0.0,0.11,8.15,2.35,0.0
20140112:0250,218.05,171.5,97.45,2.13,11.64,8.93,2.36,0.0
20140112:0350,432.02,349.22,165.29,4.65,22.07,11.38,2.39,0.0
20140112:0450,606.89,545.22,193.31,6.93,30.8,13.82,2.42,0.0
20140112:0550,698.57,657.16,214.85,8.38,36.97,16.27,2.46,0.0
20140112:0650,681.78,583.81,271.19,8.48,39.63,17.21,2.4,0.0
20140112:0750,633.0,508.84,283.96,7.94,38.21,18.14,2.35,0.0
20140112:0850,488.28,326.97,277.86,6.26,33.04,19.08,2.3,0.0
20140112:0950,367.66,233.48,217.0,4.54,25.0,17.65,2.23,0.0
20140112:1050,216.35,140.85,129.9,2.49,15.01,16.23,2.15,0.0
20140112:1150,6.1,4.6,13.29,0.2,3.78,14.8,2.07,0.0
20140112:1250,0.0,0.0,0.0,0.0,0.0,13.5,2.21,0.0
20140112:1350,0.0,0.0,0.0,0.0,0.0,12.19,2.35,0.0
20140112:1450,0.0,0.0,0.0,0.0,0.0,10.88,2.5,0.0
20140112:1550,0.0,0.0,0.0,0.0,0.0,10.22,2.38,0.0
20140112:1650,0.0,0.0,0.0,0.0,0.0,9.57,2.27,0.0
20140112:1750,0.0,0.0,0.0,0.0,0.0,8.91,2.15,0.0
20140112:1850,0.0,0.0,0.0,0.0,0.0,8.53,2.1,0.0
20140112:1950,0.0,0.0,0.0,0.0,0.0,8.15,2.05,0.0
20140112:2050,0.0,0.0,0.0,0.0,0.0,7.77,2.0,0.0
20140112:2150,0.0,0.0,0.0,0.0,0.0,7.49,1.89,0.0
20140112:2250,0.0,0.0,0.0,0.0,0.0,7.2,1.79,0.0
20140112:2350,0.0,0.0,0.0,0.0,0.0,6.92,1.68,0.0
20140113:0050,0.0,0.0,0.0,0.0,0.0,7.81,1.62,0.0
20140113:0150,0.0,0.0,0.0,0.0,0.12,8.71,1.56,0.0
20140113:0250,165.37,109.56,99.12,1.87,11.67,9.6,1.5,0.0
20140113:0350,426.39,349.72,165.1,4.66,22.13,12.09,1.23,0.0
20140113:0450,565.75,487.07,215.1,6.72,30.89,14.59,0.96,0.0
20140113:0550,680.44,670.34,209.17,8.44,37.1,17.08,0.69,0.0
20140113:0650,711.81,710.0,222.28,9.02,39.79,17.93,0.68,0.0
20140113:0750,682.02,661.82,229.95,8.59,38.4,18.78,0.66,0.0
20140113:0850,587.79,527.33,229.74,7.21,33.22,19.64,0.65,0.0
20140113:0950,416.01,308.85,208.25,4.93,25.18,18.24,1.07,0.0
20140113:1050,138.28,59.89,120.18,2.01,15.19,16.85,1.49,0.0
20140113:1150,23.55,22.18,22.37,0.37,3.94,15.45,1.9,0.0
20140113:1250,0.0,0.0,0.0,0.0,0.0,14.16,2.15,0.0
20140113:1350,0.0,0.0,0.0,0.0,0.0,12.86,2.39,0.0
20140113:1450,0.0,0.0,0.0,0.0,0.0,11.56,2.63,0.0
20140113:1550,0.0,0.0,0.0,0.0,0.0,10.89,2.38,0.0
20140113:1650,0.0,0.0,0.0,0.0,0.0,10.23,2.13,0.0
20140113:1750,0.0,0.0,0.0,0.0,0.0,9.56,1.88,0.0
20140113:1850,0.0,0.0,0.0,0.0,0.0,9.23,1.93,0.0
20140113:1950,0.0,0.0,0.0,0.0,0.0,8.9,1.98,0.0
20140113:2050,0.0,0.0,0.0,0.0,0.0,8.56,2.03,0.0
20140113:2150,0.0,0.0,0.0,0.0,0.0,8.07,1.79,0.0
20140113:2250,0.0,0.0,0.0,0.0,0.0,7.57,1.56,0.0
20140113:2350,0.0,0.0,0.0,0.0,0.0,7.08,1.32,0.0
20140114:0050,0.0,0.0,0.0,0.0,0.0,7.91,1.34,0.0
20140114:0150,0.0,0.0,0.0,0.0,0.14,8.73,1.35,0.0
20140114:0250,183.58,129.93,100.23,1.98,11.71,9.56,1.37,0.0
20140114:0350,380.06,275.48,182.23,4.36,22.19,12.22,1.39,0.0
20140114:0450,569.0,488.75,213.71,6.74,30.99,14.89,1.42,0.0
20140114:0550,674.93,634.68,224.91,8.33,37.24,17.55,1.45,0.0
20140114:0650,722.59,711.13,223.23,9.06,39.96,18.39,1.41,0.0
20140114:0750,707.15,701.44,214.87,8.79,38.58,19.23,1.37,0.0
20140114:0850,637.85,626.76,192.52,7.62,33.42,20.07,1.34,0.0
20140114:0950,500.09,461.21,168.59,5.57,25.36,19.6,1.16,0.0
20140114:1050,279.33,225.8,127.08,2.91,15.36,19.13,0.99,0.0
20140114:1150,29.72,29.96,24.05,0.41,4.1,18.66,0.81,0.0
20140114:1250,0.0,0.0,0.0,0.0,0.0,16.9,1.01,0.0
20140114:1350,0.0,0.0,0.0,0.0,0.0,15.14,1.21,0.0
20140114:1450,0.0,0.0,0.0,0.0,0.0,13.38,1.41,0.0
20140114:1550,0.0,0.0,0.0,0.0,0.0,12.11,1.72,0.0
20140114:1650,0.0,0.0,0.0,0.0,0.0,10.84,2.03,0.0
20140114:1750,0.0,0.0,0.0,0.0,0.0,9.56,2.34,0.0
20140114:1850,0.0,0.0,0.0,0.0,0.0,9.59,2.28,0.0
20140114:1950,0.0,0.0,0.0,0.0,0.0,9.62,2.22,0.0
20140114:2050,0.0,0.0,0.0,0.0,0.0,9.64,2.15,0.0
20140114:2150,0.0,0.0,0.0,0.0,0.0,9.26,1.58,0.0
20140114:2250,0.0,0.0,0.0,0.0,0.0,8.88,1.01,0.0
20140114:2350,0.0,0.0,0.0,0.0,0.0,8.5,0.44,0.0
20140115:0050,0.0,0.0,0.0,0.0,0.0,8.96,0.52,0.0
20140115:0150,0.0,0.0,0.0,0.0,0.16,9.43,0.61,0.0
20140115:0250,66.16,16.67,76.36,1.19,11.75,9.89,0.69,0.0
20140115:0350,142.64,24.8,156.59,2.45,22.26,12.42,1.01,0.0
20140115:0450,215.24,38.07,229.34,3.62,31.1,14.96,1.32,0.0
20140115:0550,211.95,19.14,247.55,3.77,37.38,17.49,1.64,0.0
20140115:0650,318.15,78.81,316.09,5.19,40.13,18.21,1.55,0.0
20140115:0750,501.62,299.56,328.89,6.93,38.78,18.92,1.47,0.0
20140115:0850,603.48,542.19,226.47,7.34,33.62,19.64,1.38,0.0
20140115:0950,448.09,353.8,202.49,5.21,25.56,18.56,1.51,0.0
20140115:1050,270.19,206.32,131.08,2.87,15.54,17.49,1.65,0.0
20140115:1150,33.35,33.08,25.35,0.44,4.27,16.41,1.78,0.0
20140115:1250,0.0,0.0,0.0,0.0,0.0,14.66,2.06,0.0
